state,report_date,as_of_date,self_response,nrfu,enumerated
Maine,2020-08-26,2020-08-25,56.7,29.9,86.6
Maryland,2020-08-26,2020-08-25,69,15,84
Massachusetts,2020-08-26,2020-08-25,66.9,15.9,82.8
Michigan,2020-08-26,2020-08-25,69.7,8.8,78.5
Minnesota,2020-08-26,2020-08-25,73.6,11.3,84.9
Mississippi,2020-08-26,2020-08-25,58.7,11.7,70.3
Missouri,2020-08-26,2020-08-25,64.3,18.7,83.1
Montana,2020-08-26,2020-08-25,57.9,11.8,69.6
Nebraska,2020-08-26,2020-08-25,70.1,10.7,80.8
Nevada,2020-08-26,2020-08-25,63.7,9.8,73.5
New Hampshire,2020-08-26,2020-08-25,64.5,11.9,76.4
New Jersey,2020-08-26,2020-08-25,66.5,11.1,77.6
New Mexico,2020-08-26,2020-08-25,55.1,11.5,66.6
New York,2020-08-26,2020-08-25,60.5,14,74.5
North Carolina,2020-08-26,2020-08-25,60.4,10.2,70.6
North Dakota,2020-08-26,2020-08-25,63.7,17.5,81.2
Ohio,2020-08-26,2020-08-25,68.7,12.9,81.6
Oklahoma,2020-08-26,2020-08-25,59,16.2,75.1
Oregon,2020-08-26,2020-08-25,67.4,19,86.4
Pennsylvania,2020-08-26,2020-08-25,67.4,14.5,81.9
Rhode Island,2020-08-26,2020-08-25,62.4,15,77.4
South Carolina,2020-08-26,2020-08-25,58.4,11.1,69.5
South Dakota,2020-08-26,2020-08-25,65.3,11.2,76.5
Tennessee,2020-08-26,2020-08-25,63.9,14.5,78.3
Texas,2020-08-26,2020-08-25,59.9,14,73.8
Utah,2020-08-26,2020-08-25,68.9,12.3,81.3
Vermont,2020-08-26,2020-08-25,58.3,17.3,75.6
Virginia,2020-08-26,2020-08-25,69.2,11.6,80.7
Washington,2020-08-26,2020-08-25,70.8,18,88.8
West Virginia,2020-08-26,2020-08-25,55.5,34.2,89.7
Wisconsin,2020-08-26,2020-08-25,70.9,15.4,86.3
Wyoming,2020-08-26,2020-08-25,58.8,15,73.8
Puerto Rico,2020-08-26,2020-08-25,31.9,34,65.8
U.S. Total,2020-08-27,2020-08-26,64.6,14.6,79.2
Alabama,2020-08-27,2020-08-26,61.6,9.5,71.1
Alaska,2020-08-27,2020-08-26,52.6,29.8,82.4
Arizona,2020-08-27,2020-08-26,61.1,9.3,70.5
Arkansas,2020-08-27,2020-08-26,59.1,20.5,79.6
California,2020-08-27,2020-08-26,66.8,16.4,83.3
Colorado,2020-08-27,2020-08-26,68,13.3,81.3
Connecticut,2020-08-27,2020-08-26,68.8,19.2,87.9
Delaware,2020-08-27,2020-08-26,62.2,13.9,76.1
District of Columbia,2020-08-27,2020-08-26,61.1,16.2,77.2
Florida,2020-08-27,2020-08-26,61.3,10.9,72.2
Georgia,2020-08-27,2020-08-26,60,10.3,70.3
Hawaii,2020-08-27,2020-08-26,61.6,25.3,86.9
Idaho,2020-08-27,2020-08-26,68.6,26.9,95.4
Illinois,2020-08-27,2020-08-26,69.5,16.5,86
Indiana,2020-08-27,2020-08-26,68.8,18.5,87.3
