state,as_of_date,enumerated,type,finished
Idaho,2020-08-24,94.4,observation,2020-09-11
Illinois,2020-08-24,84.7,observation,2020-10-02
Indiana,2020-08-24,85.4,observation,2020-09-24
Iowa,2020-08-24,74.4,observation,2020-10-10
Kansas,2020-08-24,87.3,observation,2020-09-25
Kentucky,2020-08-24,76.5,observation,2020-10-11
Louisiana,2020-08-24,71.9,observation,2020-10-17
Maine,2020-08-24,85.8,observation,2020-09-23
Maryland,2020-08-24,83.3,observation,2020-10-04
Massachusetts,2020-08-24,82,observation,2020-10-03
Michigan,2020-08-24,77.5,observation,2020-10-06
Minnesota,2020-08-24,84.1,observation,2020-09-28
Mississippi,2020-08-24,69.6,observation,2020-10-17
Missouri,2020-08-24,82.1,observation,2020-10-02
Montana,2020-08-24,68.8,observation,2020-10-17
Nebraska,2020-08-24,80.2,observation,2020-10-04
Nevada,2020-08-24,72.5,observation,2020-10-07
New Hampshire,2020-08-24,75.4,observation,2020-10-02
New Jersey,2020-08-24,76.7,observation,2020-10-06
New Mexico,2020-08-24,65.5,observation,2020-10-15
New York,2020-08-24,73.4,observation,2020-10-06
North Carolina,2020-08-24,69.6,observation,2020-10-14
North Dakota,2020-08-24,80.3,observation,2020-10-04
Ohio,2020-08-24,80.7,observation,2020-10-03
Oklahoma,2020-08-24,74.3,observation,2020-10-11
Oregon,2020-08-24,85.2,observation,2020-09-30
Pennsylvania,2020-08-24,81.1,observation,2020-10-04
Rhode Island,2020-08-24,76.2,observation,2020-10-04
South Carolina,2020-08-24,68.5,observation,2020-10-17
South Dakota,2020-08-24,75.6,observation,2020-10-10
Tennessee,2020-08-24,77.3,observation,2020-10-05
Texas,2020-08-24,72.8,observation,2020-10-07
Utah,2020-08-24,80.4,observation,2020-10-01
Vermont,2020-08-24,74.4,observation,2020-09-26
Virginia,2020-08-24,79.9,observation,2020-10-06
Washington,2020-08-24,88.1,observation,2020-09-24
West Virginia,2020-08-24,88.9,observation,2020-09-12
Wisconsin,2020-08-24,85.3,observation,2020-09-25
Wyoming,2020-08-24,72.7,observation,2020-10-11
Puerto Rico,2020-08-24,63.9,observation,2020-09-30
U.S. Total,2020-08-25,78.3,observation,2020-10-07
Alabama,2020-08-25,70.4,observation,2020-10-19
Alaska,2020-08-25,81.2,observation,2020-10-03
Arizona,2020-08-25,69.6,observation,2020-10-14
Arkansas,2020-08-25,78.1,observation,2020-09-27
California,2020-08-25,82.2,observation,2020-10-02
Colorado,2020-08-25,80.5,observation,2020-10-08
Connecticut,2020-08-25,87.1,observation,2020-09-27
Delaware,2020-08-25,75.1,observation,2020-10-10
District of Columbia,2020-08-25,76,observation,2020-10-10
Florida,2020-08-25,71.2,observation,2020-10-13
Georgia,2020-08-25,69.4,observation,2020-10-16
Hawaii,2020-08-25,85.8,observation,2020-09-17
Idaho,2020-08-25,94.9,observation,2020-09-11
Illinois,2020-08-25,85.3,observation,2020-10-02
Indiana,2020-08-25,86.4,observation,2020-09-24
Iowa,2020-08-25,75.1,observation,2020-10-10
Kansas,2020-08-25,88.1,observation,2020-09-25
Kentucky,2020-08-25,77.3,observation,2020-10-11
Louisiana,2020-08-25,72.5,observation,2020-10-17
Maine,2020-08-25,86.6,observation,2020-09-23
Maryland,2020-08-25,84,observation,2020-10-04
Massachusetts,2020-08-25,82.8,observation,2020-10-03
Michigan,2020-08-25,78.5,observation,2020-10-06
Minnesota,2020-08-25,84.9,observation,2020-09-28
Mississippi,2020-08-25,70.3,observation,2020-10-17
Missouri,2020-08-25,83.1,observation,2020-10-02
Montana,2020-08-25,69.6,observation,2020-10-17
Nebraska,2020-08-25,80.8,observation,2020-10-04
Nevada,2020-08-25,73.5,observation,2020-10-07
New Hampshire,2020-08-25,76.4,observation,2020-10-02
New Jersey,2020-08-25,77.6,observation,2020-10-06
New Mexico,2020-08-25,66.6,observation,2020-10-15
New York,2020-08-25,74.5,observation,2020-10-06
North Carolina,2020-08-25,70.6,observation,2020-10-14
North Dakota,2020-08-25,81.2,observation,2020-10-04
Ohio,2020-08-25,81.6,observation,2020-10-03
Oklahoma,2020-08-25,75.1,observation,2020-10-11
Oregon,2020-08-25,86.4,observation,2020-09-30
Pennsylvania,2020-08-25,81.9,observation,2020-10-04
Rhode Island,2020-08-25,77.4,observation,2020-10-04
South Carolina,2020-08-25,69.5,observation,2020-10-17
South Dakota,2020-08-25,76.5,observation,2020-10-10
Tennessee,2020-08-25,78.3,observation,2020-10-05
Texas,2020-08-25,73.8,observation,2020-10-07
Utah,2020-08-25,81.3,observation,2020-10-01
Vermont,2020-08-25,75.6,observation,2020-09-26
Virginia,2020-08-25,80.7,observation,2020-10-06
Washington,2020-08-25,88.8,observation,2020-09-24
West Virginia,2020-08-25,89.7,observation,2020-09-12
Wisconsin,2020-08-25,86.3,observation,2020-09-25
Wyoming,2020-08-25,73.8,observation,2020-10-11
Puerto Rico,2020-08-25,65.8,observation,2020-09-30
U.S. Total,2020-08-26,79.2,observation,2020-10-07
Alabama,2020-08-26,71.1,observation,2020-10-19
Alaska,2020-08-26,82.4,observation,2020-10-03
Arizona,2020-08-26,70.5,observation,2020-10-14
Arkansas,2020-08-26,79.6,observation,2020-09-27
California,2020-08-26,83.3,observation,2020-10-02
Colorado,2020-08-26,81.3,observation,2020-10-08
Connecticut,2020-08-26,87.9,observation,2020-09-27
Delaware,2020-08-26,76.1,observation,2020-10-10
District of Columbia,2020-08-26,77.2,observation,2020-10-10
Florida,2020-08-26,72.2,observation,2020-10-13
Georgia,2020-08-26,70.3,observation,2020-10-16
Hawaii,2020-08-26,86.9,observation,2020-09-17
Idaho,2020-08-26,95.4,observation,2020-09-11
Illinois,2020-08-26,86,observation,2020-10-02
Indiana,2020-08-26,87.3,observation,2020-09-24
Iowa,2020-08-26,76,observation,2020-10-10
Kansas,2020-08-26,89,observation,2020-09-25
Kentucky,2020-08-26,78.2,observation,2020-10-11
Louisiana,2020-08-26,72.9,observation,2020-10-17
Maine,2020-08-26,87.6,observation,2020-09-23
Maryland,2020-08-26,84.7,observation,2020-10-04
Massachusetts,2020-08-26,83.7,observation,2020-10-03
Michigan,2020-08-26,79.4,observation,2020-10-06
Minnesota,2020-08-26,85.8,observation,2020-09-28
Mississippi,2020-08-26,71.2,observation,2020-10-17
Missouri,2020-08-26,84,observation,2020-10-02
Montana,2020-08-26,70.6,observation,2020-10-17
Nebraska,2020-08-26,81.6,observation,2020-10-04
Nevada,2020-08-26,74.7,observation,2020-10-07
New Hampshire,2020-08-26,77.6,observation,2020-10-02
New Jersey,2020-08-26,78.6,observation,2020-10-06
New Mexico,2020-08-26,67.9,observation,2020-10-15
New York,2020-08-26,75.7,observation,2020-10-06
North Carolina,2020-08-26,71.6,observation,2020-10-14
North Dakota,2020-08-26,82,observation,2020-10-04
Ohio,2020-08-26,82.5,observation,2020-10-03
Oklahoma,2020-08-26,76,observation,2020-10-11
Oregon,2020-08-26,87.4,observation,2020-09-30
Pennsylvania,2020-08-26,82.9,observation,2020-10-04
Rhode Island,2020-08-26,78.7,observation,2020-10-04
South Carolina,2020-08-26,70.5,observation,2020-10-17
South Dakota,2020-08-26,77.4,observation,2020-10-10
Tennessee,2020-08-26,79.4,observation,2020-10-05
Texas,2020-08-26,74.8,observation,2020-10-07
Utah,2020-08-26,82.3,observation,2020-10-01
Vermont,2020-08-26,77,observation,2020-09-26
Virginia,2020-08-26,81.6,observation,2020-10-06
Washington,2020-08-26,89.6,observation,2020-09-24
West Virginia,2020-08-26,90.6,observation,2020-09-12
Wisconsin,2020-08-26,87.3,observation,2020-09-25
Wyoming,2020-08-26,75,observation,2020-10-11
Puerto Rico,2020-08-26,67.8,observation,2020-09-30
U.S. Total,2020-08-27,80.1,observation,2020-10-07
Alabama,2020-08-27,71.7,observation,2020-10-19
Alaska,2020-08-27,83.5,observation,2020-10-03
Arizona,2020-08-27,71.3,observation,2020-10-14
Arkansas,2020-08-27,80.6,observation,2020-09-27
California,2020-08-27,84.3,observation,2020-10-02
Colorado,2020-08-27,82.1,observation,2020-10-08
Connecticut,2020-08-27,88.5,observation,2020-09-27
Delaware,2020-08-27,77,observation,2020-10-10
District of Columbia,2020-08-27,78.4,observation,2020-10-10
Florida,2020-08-27,73.1,observation,2020-10-13
Georgia,2020-08-27,71.1,observation,2020-10-16
Hawaii,2020-08-27,87.9,observation,2020-09-17
Idaho,2020-08-27,95.9,observation,2020-09-11
Illinois,2020-08-27,86.6,observation,2020-10-02
Indiana,2020-08-27,88.2,observation,2020-09-24
Iowa,2020-08-27,76.8,observation,2020-10-10
Kansas,2020-08-27,89.8,observation,2020-09-25
Kentucky,2020-08-27,79.1,observation,2020-10-11
Louisiana,2020-08-27,73.3,observation,2020-10-17
Maine,2020-08-27,88.5,observation,2020-09-23
Maryland,2020-08-27,85.4,observation,2020-10-04
Massachusetts,2020-08-27,84.5,observation,2020-10-03
Michigan,2020-08-27,80.3,observation,2020-10-06
Minnesota,2020-08-27,86.6,observation,2020-09-28
Mississippi,2020-08-27,72,observation,2020-10-17
Missouri,2020-08-27,85,observation,2020-10-02
Montana,2020-08-27,71.6,observation,2020-10-17
Nebraska,2020-08-27,82.5,observation,2020-10-04
